Diameter,Latitude,Longitude (West),Axial Ratio,Degradation,Geol. Unit,Note
349.93,7.46,286.03,1.15,,FBT,Very degraded/visible in topography
156.10,26.20,45.86,1.05,,ICT,Aeneas
132.88,52.55,202.62,1.01,,DCT2,Latinus
131.02,-52.33,294.91,1.00,,FBT,Alcander
121.19,-24.42,18.51,1.09,,RBT,Dido
113.22,-34.98,105.02,1.13,,ET,Erulus
100.52,-7.64,224.19,1.01,,FBT,Allecto
100.20,50.34,242.94,1.09,,FBT,Acestes
90.68,-45.93,286.56,1.14,,FBT,Prytanis
88.88,33.88,232.64,1.00,,FBT,Ascanius
76.26,-13.70,102.65,1.06,,ST,Lagus
76.09,-7.46,10.77,1.01,,RBT,Antenor
72.86,30.44,279.34,1.01,,FBT,Dercennus
70.06,5.74,279.55,1.02,,FBT,Amata
68.26,-15.14,300.82,1.32,,FBT,Daucus
67.78,-7.88,25.72,1.13,,RBT,Romulus
64.29,25.64,271.77,1.06,,FBT,
64.28,-13.86,30.97,1.17,,RBT,Remus
62.78,-32.61,331.81,1.10,,FBT,Silvius
61.78,-3.07,240.72,1.09,,FBT,Pagasus
61.29,12.75,225.27,1.00,,FBT,
61.11,-41.51,295.04,1.21,,FBT,
59.63,81.37,136.51,,4,DCT1,Phorbas
59.55,-11.03,210.27,1.16,,FBT,Entellus
57.81,-10.09,236.63,1.10,,FBT,Amastrus
57.57,33.13,8.46,1.03,,ICT,Assaracus
55.70,54.03,254.18,1.06,,FBT,Lamyrus
55.35,29.91,189.65,1.03,,ICT,Tiburtus
54.68,47.34,278.02,1.05,,FBT,
54.60,47.98,297.08,,3,FBT,Galaesus
54.26,46.00,294.58,,3,FBT,
53.91,-22.29,245.47,1.01,,ICT,Iasus
53.16,20.23,182.87,1.12,,ICT,Mezentius
52.34,35.67,155.55,1.16,,DCT2,Herbesus
51.56,56.30,332.86,1.00,,ICT,Sulmo
50.72,-0.29,346.22,1.03,,ICT,Ilia
49.10,4.82,103.73,1.04,,ST,Sagaris
47.72,10.41,147.36,1.01,,ST,Aulestes
47.44,-25.10,79.06,1.09,,ST,Caieta
47.28,14.53,25.52,1.01,,ICT,Latagus
45.27,19.84,232.68,1.01,,FBT,
44.55,64.90,181.48,,2,DCT2,Salius
44.12,48.88,162.75,1.12,,DCT2,
43.80,25.71,287.56,1.13,,FBT,Tyrrhus
43.45,18.64,23.92,1.10,,ICT,Magus
43.26,12.43,162.44,1.13,,ICT,
42.85,39.73,246.07,1.00,,FBT,
42.66,1.73,7.95,1.02,,ICT,
42.64,23.04,15.61,1.08,,ICT,
42.19,24.56,126.53,1.48,,ST,Liger
41.90,32.13,137.75,1.06,,ST,
41.53,41.71,321.98,1.17,,ICT,
41.44,37.52,184.19,1.00,,DCT2,
41.36,0.47,267.95,1.06,,FBT,Coras
41.19,-49.30,355.83,1.04,,ICT,
41.12,40.82,17.18,1.41,,ICT,
40.76,-21.50,106.76,1.01,,ST,
40.56,50.89,300.40,,4,FBT,
40.45,26.39,29.18,1.00,,ICT,
40.36,-16.58,96.97,1.01,,ST,Telon
39.71,-34.44,64.42,1.20,,ST,Anchises
39.70,52.95,315.12,,3 ellipse,ICT,
39.69,41.32,310.05,1.03,,ICT,
39.62,-42.35,344.12,1.02,,ICT,
39.56,-25.97,215.33,1.01,,FBT,
38.92,51.54,172.89,1.22,,DCT2,
38.88,20.68,269.69,1.59,,FBT,
38.88,-31.85,29.36,1.08,,RBT,
38.88,22.68,130.61,1.24,,ST,Lucagus
38.38,0.39,6.38,1.10,,ICT,
37.91,-3.18,199.45,1.03,,ICT,
